제목,언론사,날짜,본문,링크
[인터뷰] 라포소 현대차 부사장 “전기차 충전시간 10분대로 단축” - 조선비즈,조선비즈언론사 선정,2022.07.17.,본문 추출 실패,https://biz.chosun.com/industry/car/2022/07/17/PL6CBDCJ3VC2PGKBLQUZWPFYKM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차, N브랜드 전동화 나선다…내년 아이오닉5 N 출격",파이낸셜뉴스언론사 선정,2022.07.15.,본문 추출 실패,http://www.fnnews.com/news/202207150940534868
"현대차 ""2030년 전기차 180만대 이상 팔겠다""",이코노미스트언론사 선정,2022.07.14.,"현대차 ""2030년 전기차 180만대 이상 팔겠다""승용 및 고성능 모델, 상용차까지 전 라인업 전동화판매 규모 및 라인업 확대해 전기차 비중 늘릴 계획초고속 충전기 5000기 보급 등 충전 생태계 확장 지속현대차는 14일 '2022 부산국제모터쇼' 보도발표회에서 아이오닉 6를 공개하고, 전기차 라인업 구축 계획 및 전동화 비전을 발표했다.[사진 현대차]전기차 시대의 '퍼스트 무버(First Mover)'를 꿈꾸는 현대자동차가 승용 및 고성능 모델, 상용차에 이르기까지 전 라인업에 걸쳐 전동화 전환을 가속화한다. 차세대 플랫폼 개발 등으로 전기차 라인업을 지속 확대해 2030년 글로벌 시장에서 180만대 이상의 전기차를 판매하겠다는 목표도 내걸었다.━최적의 전기차 라인업 구축현대차는 14일 부산광역시 해운대구 소재 벡스코에서 진행된 '2022 부산국제모터쇼' 보도발표회에서 아이오닉 6를 공개하고, 전기차 라인업 구축 계획 및 전동화 비전에 대해 발표했다.현대차는 전용 전기차 플랫폼 'E-GMP'를 2024년 출시 예정인 아이오닉 7까지 적용해 아이오닉 브랜드의 전기차 라인업을 완성할 계획이다. 운전의 즐거움을 추구하는 고객 감성을 만족시킬 수 있도록 N의 헤리티지를 계승한 고성능 전기차 라인업 확대도 준비 중이다.상용차 부문도 전동화 전환에 속도를 낸다. 현대차는 이번 부산모터쇼에서 엑시언트 수소전기트럭과 유니버스 수소전기버스를 공개했다. 하반기부터 본격적으로 국내 판매에 돌입하는 엑시언트 수소전기트럭은 국내 전용 6x4 윙바디 모델로, 1회 충전 시(자체 테스트 기준) 최대 약 570km를 달릴 수 있다. 현대차가 일렉시티 수소전기버스 이후 두 번째로 출시하는 유니버스 수소전기버스는 1회 충전으로 광역버스의 일상적인 주행이 가능하다.김흥수 현대차 EV 사업부장은 ""현대차는 전동화 시대를 선도하고 다양한 고객 니즈를 만족시키기 위해 최적의 전기차 라인업을 구축할 것""이라고 말했다.2022 부산국제모터쇼에 전시된 현대차 엑시언트수소전기트럭. [사진 현대차]━판매 규모 및 라인업 지속 확대현대차와 제네시스는 글로벌 전기차 판매 대수를 2030년 180만대 이상으로 확대한다는 계획이다. 지난해 글로벌 시장에서 두 브랜드가 판매한 전기차는 14만대였다. 지난해 4만2000대를 판매한 국내의 경우 2030년 33만대로 연평균 26%의 판매 성장을 목표로 잡았다.이를 위해 아이오닉 6 포함 국내 기준 올해 전기차 6개 모델(현대차 3종·제네시스 3종)에서 2030년 13개 모델(현대차 6종·제네시스 7종) 이상으로 전기차 라인업을 확대한다. 판매 규모 및 라인업 확대를 통해 현대차와 제네시스는 국내 전기차 판매 비중을 2021년 6%에서 2030년 45%로 끌어올릴 계획이다.전기차 대중화 시대를 선도하기 위한 플랫폼 개발에도 집중한다. '통합 모듈러 아키텍처(IMA)' 개발 체계 완성 및 전용 차세대 플랫폼 확보에 속도를 내 EV 라인업 확대와 상품성 강화를 추진한다는 구상이다. 새로운 전기차 아키텍처를 기반으로 전기차의 핵심 역량인 주행거리(AER)와 충전성능은 최고 수준 경쟁력을 유지하면서 신기술 적용으로 공간 활용성의 극대화를 지속 추구한다. 다양한 이용 상황을 고려한 사용자 맞춤형 편의 기능도 강화할 예정이다.현대차는 전기차 보급의 핵심 기반인 전기차 충전 솔루션, 고객 서비스 등 인프라 구축에도 적극적으로 나선다. 지난해 4월 론칭 후 5만명의 회원을 확보한 초고속 전기차 충전 브랜드 이피트(E-pit)를 총 500기 구축할 계획이다. 국내 기업들과 협력해 전기차 충전사업자 연합 네트워크 'E-pit Alliance'를 결성하고, 전기차 충전 인프라를 위한 친환경 펀드 조성 및 특수목적법인(SPC) 구성을 통해 2025년까지 도심의 초고속 충전기 5000기를 보급하는 등 전기차 초고속 충전 생태계 확장에 적극 기여할 방침이다.현대차 대표이사 장재훈 사장 ""지난해 현대차는 '2045년 탄소중립'을 선언하고 휴머니티를 향한, 진보를 향한 의지를 보여드렸다""며 ""아이오닉 6를 통해 앞으로도 현대차가 추구하는 친환경 모빌리티를 실현하기 위해 전동화 경험의 진보를 지속적으로 강화해 나갈 것""이라고 말했다.이지완 기자 anew@edaily.co.krⓒ이코노미스트(https://economist.co.kr) '내일을 위한 경제뉴스 이코노미스트' 무단 전재 및 재배포 금지",https://economist.co.kr/2022/07/14/industry/normal/20220714190010781.html
"현대차 유니버스·일렉시티, 르노 마스터 등 리콜 - 조선비즈",조선비즈언론사 선정,2022.07.14.,본문 추출 실패,https://biz.chosun.com/industry/car/2022/07/14/5RIOGH3JP5EBZK4EO2G6G7GUOM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차, 러 내수판매 ‘1대’?…체코·카자흐서 공백 메울까 [비즈360] - 헤럴드경제",헤럴드경제,입력 2022-07-18 13:26:06,김지윤 기자구독 +,http://news.heraldcorp.com/view.php?ud=20220718000594
"현대차 노조, 내일 잠정합의안 찬반투표 진행",울산MBC,2022년 07월 18일 17시 08분 26초,"탄핵심판 선고 D-1‥ ""승복하고 혼란 수습해야""2025년 04월 03일 21시 59분 45초",https://www.usmbc.co.kr/article/PWDdg_bDLyRWLKsY7
"장재훈 현대차 사장, 새 공장 신설에 ""울산 공장이 중심...2조 규모 투자""",newsis,2025.04.05 (토),"[부산=뉴시스] 하경민 기자 = '2022 부산국제모터쇼' 언론공개 행사가 열린 14일 부산 해운대구 벡스코 제1전시장에서 현대자동차가 세단형 전기차인 '아이오닉 6'를 세계 최초로 공개(월드프리미어)하고 있다. 이날 프레스데이를 시작으로 15~24일 열리는 부산모터쇼는 현대차, 기아차, 제네시스, BMW, MINI, 롤스로이스 등 6개의 완성차 브랜드를 포함해 8개국 120개사가 참가했다. 2022.07.14.[email protected][부산=뉴시스] 정윤아 기자 = 현대자동차 대표이사 장재훈 사장은 14일 국내 전기차 전용 공장 신설 장소에 대해 ""어느 정도는 이야기가 돼있는데 국내 공장은 울산 공장을 중심으로 하는게 맞다""고 밝혔다. 현대차 노사는 최근 임금협상·단체교섭에서 국내에 전기차 전용 공장을 29년 만에 새로 짓기로 합의했다.장 사장은 이날 부산 해운대구 벡스코에서 열린 부산국제모터쇼에서 아이오닉 6를 공개한 뒤기자들과 만나 이같이 말했다.그는 '울산 공장안에 전기차 전용 공장을 추가로 짓는다고 보면 되느냐'는 질문에 ""지금 계획으로는 전체적으로 기존 공장 부지에서 진행을 하고 있다""고 말했다.장 사장은 이어 '전기차 전용공장 관련 투자 규모'에 대해 ""캐파(규모)는 별도로 말씀드려야 하는 부분""이라면서도 ""(신공장) 투자 규모는 약 2조 정도로 생각한다. 전동화 시대에 새롭게 국내 공장을 중심으로 해야하기 때문에 심도있게 검토 중""이라고 했다.한편 장 사장은 첫 공개한 아이오닉 6 생산계획에 대해 ""국내 공장에서만 생산할 것""이라고 밝혔다.그는 ""국내에서도 충분히 커버할 수 있을 것으로 생각한다""고 덧붙였다.[부산=뉴시스] 하경민 기자 = '2022 부산국제모터쇼' 언론공개 행사가 열린 14일 부산 해운대구 벡스코 제1전시장에서 현대자동차가 세단형 전기차인 '아이오닉 6'를 세계 최초로 공개(월드프리미어)한 가운데 장재훈 사장과 전 축구 국가대표 박지성 선수 등이 취재진 앞에 포즈를 취하고 있다. 이날 프레스데이를 시작으로 15~24일 열리는 부산모터쇼는 현대차, 기아차, 제네시스, BMW, MINI, 롤스로이스 등 6개의 완성차 브랜드를 포함해 8개국 120개사가 참가했다. 2022.07.14.[email protected]장 사장은 아이오닉 6의 글로벌 출시 일정에 대해 ""국내는 금년이고, 내년 초에 해외 출시를 계획하고 있다""고 말했다.그는 아이오닉 6의 내년 판매목표량에 대해 ""글로벌 전체적으로는 5만대 이상을 기대하고 있다""며 ""유럽, 미국 등 주력시장을 중심으로 판매 마케팅을 계획하고 있다""고 설명했다.장 사장은 다음 전기차 차종에 대해 ""조만간 상품 계획을 전체 전략과 함께 말씀드릴 것""이라며 ""지금이랑 다른 부분으로 기대하고 있다""고 밝혔다.그는 '제네시스는 어떤 신차를 기다려볼 수 있겠느냐'는 질문에 ""2025년부터 순차적으로 제네시스 전동화 전환에 들어가고 2030년까지 전동화 완성이 목표""라고 했다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20220714_0001943049&cID=13001&pID=13000
"현대차 노사, 교섭 역사상 처음 4년 연속 파업 없이 잠정합의(종합)",연합뉴스언론사 선정,2022/07/12 20:45 송고2022년07월12일 20시45분 송고,"김근주기자구독구독중이전다음기본급 9만8천원 인상, 전기차 전용생산 국내공장 신설, 기술직 신규채용19일 합의안 찬반투표…노조 ""조합원 자존심 세운 합의안,부족분 채울것""(울산=연합뉴스) 김근주 기자 = 현대자동차 노사가 기본급 9만8천원 인상 등을 담은 올해 임금협상 잠정합의안을 12일 마련했다.노사는 이날 울산공장에서 열린 16차 교섭에서 잠정합의안을 도출했다.◇ 기본급 4.3% 인상…수당 합하면 10만원 초과 인상 폭잠정합의안은 기본급 9만8천원(4.3%, 호봉승급분 포함) 인상, 경영성과급 200%+400만원, 하반기 목표 달성 격려금 100%, 품질향상 격려금 150만원, 미래 자동차 산업변화 대응 특별격려 주식 20주, 재래시장상품권 25만원 등을 담았다.임금 인상과 성과급 규모는 경영 실적, 최근 반도체 수급난 장기화, 글로벌 지정학적 위협 등 대내외 위험 요소를 종합적으로 고려했다.노사는 또, 미래 자동차 산업변화 대응과 연계해 직군별 특성에 맞게 임금제도를 개선하고, 연구소 부문 인재와 연구개발(R&D) 경쟁력 확보를 위한 연구직군 임금체계 개선 방안을 내년 3월 말까지 마련키로 합의했다.이미지 확대현대차 생산라인[현대차그룹 제공. 재판매 및 DB 금지]◇ 국내 투자 계획 합의…공장 신설·기술직 신규 채용올해 교섭에선 자동차산업 환경 변화 대응과 고용안정을 위한 '국내공장 미래 투자 관련 특별 합의서'를 마련했다.이 합의서에 따라 현대차 국내 최초 전기차 생산 공장을 내년 착공해 2025년 완공·양산하고 국내 공장 생산 물량 재편성과 연계해 기존 노후 공장을 단계적으로 재건축한다.현대차가 국내 공장을 신설하는 것은 아산공장(1996년) 이후 29년 만이다.회사는 이를 포함한 중장기 국내 공장 개선 투자를 추진하며, 미래 제조 경쟁력 강화와 작업성·환경 개선을 위한 최첨단 생산 품질 시스템 등을 도입한다.현대차 관계자는 ""이번 합의로 최대 규모 국내 투자가 이뤄질 예정이다""며 ""지난 5월 미국 조지아 전기차 공장 건설 계획을 공개한 데 이어 국내에도 전기차 전용공장을 신설키로 해 글로벌 전기차 시장 성장에 선도적으로 대응할 수 있을 것이다""고 말했다.노조는 이에 발맞춰 글로벌 수준의 생산효율·품질 확보, 공장 재편에 따른 차종 이관과 인력 전환배치, 투입 비율 조정 및 시장수요 연동 생산 등 제반 사항 협의에 적극 노력하기로 했다.미래 산업 전환에 따른 인력 감소에 대비해 생산·기술직도 신규 채용한다.내년 상반기에 전동화, 제조기술 변화 등을 고려한 전문인력 중심 기술직을 새로 뽑는데, 채용 규모와 방식은 향후 정년퇴직 발생에 따른 필요 인원과 중장기 자동차 산업변화 감소 요인 등을 고려해 올해 11월 말까지 결정한다.노사는 또 급변하는 자동차산업 경영 환경과 리스크에 선제적으로 대응하고자 노사 대표가 참석하는 '국내 공장 대내외 리스크 대응 노사협의체'를 구성하고, 분기 1회 정례회의를 열어 미래 자동차 산업 트렌드, 생산·품질·안전 지표 등을 공유하고 대응 방안을 논의키로 했다.이미지 확대현대차 노사 대표[연합뉴스 자료사진]◇ 최초로 4년 연속 무분규 잠정합의…19일 찬반투표노사는 올해 잠정합의를 파업 없이 마련해 2019년 이후 4년 연속 무분규를 이어갔다.4년 연속 무분규는 현대차 노사 역사상 처음이다.올해는 현 노조집행부가 '강성 중의 강성'으로 꼽히는 데다가 파업권까지 확보한 상태여서 무분규가 깨질 것이라는 전망이 적지 않았다.특히, 안현호 노조지부장이 지난 5월 올해 교섭을 시작하면서 ""시기에 연연하지 않고 굵고 길게 가겠다""고 선언하면서 노사 관계를 어둡게 전망하는 시선이 많았다.예상을 넘어 노사가 출혈 없이, 예년보다 이른 여름 휴가 전 잠정합의안을 도출할 수 있었던 것은 국내 투자와 고용 문제를 빠르게 정리했기 때문으로 분석된다.현 집행부는 국내 공장 신설 등 고용 안정 문제를 중점적으로 요구해왔고, 회사 역시 지난 5월 조 바이든 미국 대통령 방한에 맞춰 발표한 총 105억 달러 규모 대미 투자에 이어 국내 투자 계획을 보여줘야 할 필요성이 컸다.이런 요구가 시기적으로 맞아떨어지면서 회사는 공장 신설과 신규 인력 채용 등 대규모 국내 투자 계획을 제시하고, 노조가 고용 안정 방안 등으로 이 제안에 합의해 핵심 현안을 정리했다.임금 인상 규모 역시 컸다.올해 인상 규모는 기본급 9만8천원인데, 수당 1만원을 합하면 사실상 10만8천원이다.이는 2013년 10만7천원 인상 이후 처음으로 인상 폭이 10만원을 넘은 것이다.올해 교섭에서 노조가 요구한 정년연장, 해고자 복직, 임금피크제 요구 등에 대해선 회사가 수용 불가 원칙을 이어갔다.이번 잠정합의안이 오는 19일로 예정된 전체 조합원 찬반투표를 통과하면 올해 현대차 임협은 완전히 마무리된다.노조는 ""조합원 자존심을 세운 합의안을 만들었다""며 ""합의사항을 반드시 지키고 부족한 부분은 채우겠다""고 밝혔다.canto@yna.co.kr관련 뉴스현대차, 부산엑스포 유치 지원 본격화…부산모터쇼서 홍보현대차, 10년 만에 생산기술직 신규 채용…내년 상반기 예정현대차 노사, 국내 투자계획 합의…29년 만에 새 공장 건설제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2022/07/12 20:45 송고2022년07월12일 20시45분 송고",https://www.yna.co.kr/view/AKR20220712162552057?input=1195m
"현대차·기아, 상반기 역대 최대 판매…르노 제치고 3위",아시아경제언론사 선정,2022.07.15.,"전년 대비 12.6% 증가AD원본보기 아이콘[아시아경제 성기호 기자] 현대차그룹이 올해 상반기(1~6월) 유럽 자동차 시장에서 판매량 3위에 올랐다. 지난해 상반기 4위에서 르노그룹을 제치고 한 계단 올라선 것이다.15일 유럽자동차공업협회(ACEA)에 따르면 올해 상반기 현대차그룹(현대차·기아)은 유럽시장에서 55만6369대를 팔았다. 이는 전년 대비 12.6%가 증가한 것이다.먼저 현대차 판매량은 전년 대비 8.2% 증가한 26만3005대, 기아 판매량은 16.8%나 늘어난 29만3364대를 기록했다. 같은 기간 유럽 자동차 시장 전체 판매량이 전년 대비 13.7% 줄어든 559만7656대에 그친 것과 비교하면 큰 폭의 성장세다.특히 현대차그룹은 유럽 자동차 시장에서 르노그룹을 제치고 폭스바겐그룹(24.1%), 스텔란티스(19.4%)에 이어 점유율 9.9%로 3위를 차지했다. 르노그룹은 점유율 9.3%로 4위로 한단계 내려앉았다. 이어 BMW그룹(7.2%), 도요타그룹(7.1%), 메르세데스-벤츠(5.8%) 등이 뒤를 이었다.모델별 판매량을 보면 현대차에서는 투싼이 6만3242대로 가장 많이 팔렸고 코나가 4만3680대, i3가 2만4401대로 뒤를 이었다. 기아에서는 씨드(7만8890대), 스포티지(7만2400대), 니로(4만2593대) 순으로 많이 판매됐다.상반기 유럽시장에서 현대차그룹 전기차 판매량은 7만7975대로 전년 동기 대비 39.6% 늘었다. 차종별로는 니로EV가 2만2889대로 가장 많았고, 코나 일렉트릭이 1만9385대, EV6 1만5927대, 아이오닉5 1만4801대, 쏘울 EV가 3074대 등으로 집계됐다. 특히 현대차그룹의 전기차 전용 플랫폼 E-GMP를 기반으로 한 전기차는 상반기에만 3만7028대가 팔렸다. 아이오닉5가 1만4801대, EV6가 1만5927대였다.한편 지난달(6월) 현대차그룹은 유럽시장에서 전년 대비 3.9% 감소한 10만1585대를 판매했다. 현대차가 전년 대비 9.4% 감소한 4만9833대를, 기아가 전년 대비 2.1% 증가한 5만1752대를 팔았다. 지난달 유럽 자동차 시장 전체 판매량은 전년 대비 16.8% 감소한 106만6137대를 기록했다.성기호 기자 kihoyeyo@asiae.co.krAD꼭 봐야할 주요뉴스""23년부터 추락 시작""…한국 '여권 파워' 세계 39...마스크영역봉황기 내린 대통령실…홈페이지도 운영 중단유시민 ""이재명, 대통령 가능성 상당…檢 유혹만 안 넘어가면 돼""시원하게 가끔 찾는 음료인데…한 모금 마시고 사망, 이유가술 두 캔 슬쩍하려다 '발각'…잡고 보니 프로야구 350승 전설 투수[일본人사이드]<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2022071516392680311
"현대차 그룹, 현대오토에버, 대졸 신입·경력사원 공개 채용 < 창업/취업 < 남도 라이프 < 기사본문 - 남도일보",남도일보,2022.07.18.,기자명박종대 기자입력 2022.07.18 09:53댓글 0,http://www.namdonews.com/news/articleView.html?idxno=688525
"'4년 연속 무분규' 현대차, 22년 임금교섭 잠정합의",이코노미스트언론사 선정,2022.07.13.,"'4년 연속 무분규' 현대차, 22년 임금교섭 잠정합의기본급 4.3% 인상·성과급 200%+400만 원직군별 특성에 맞게 임금제도 개선할 예정인력 감소 대비 현장 기술직 신규 채용 합의25년 양산 목표 국내 전기차 전용공장도 신설현대차 노사가 2022년 임금교섭 잠정합의안을 마련하며 4년 연속 무분규를 이어갔다. 사진은 서울 양재동 현대차 본사. [연합뉴스]현대자동차 노사가 2022년 임금교섭 잠정합의안을 마련했다. 역대 첫 4년 연속 무분규로 이뤄낸 이번 잠정합의는 국내 경제 회복과 부품협력사 생산 차질 방지에도 기여할 것으로 기대된다.현대차 노사는 12일 이동석 부사장(대표이사)과 안현호 노조 지부장 등 노사 교섭대표가 참석한 가운데 울산공장 본관 동행룸에서 열린 15차 임금교섭에서 잠정합의안을 도출했다.잠정합의안의 주요 내용은 ▶기본급 4.3% 인상(9만8000원, 호봉승급분 포함) ▶경영성과급 200%+400만 원 ▶품질향상 격려금 150만 원 ▶하반기 목표 달성 격려금 100% ▶미래차 산업 변화 대응 특별 격려 주식 20주 ▶전통시장 상품권 25만 원 등이다.임금 인상과 성과급 규모는 전년도 실적 향상 및 최근 반도체 수급난 장기화, 글로벌 지정학적 위협 등 대내외 리스크가 종합적으로 고려돼 전년 대비 연봉 9% 증가하는 선에서 결정됐다는 게 회사 측 설명이다.또한 노사는 미래 자동차 산업 변화 대응과 연계해 직군별 특성에 맞게 임금제도를 개선하고, 연구소 부문 우수인재 및 R&D 경쟁력 확보를 위한 연구직군 임금체계 개선 방안을 내년 3월 말까지 마련하기로 합의했다.이외에도 급변하는 자동차 산업 경영환경과 리스크 요인의 선제적 대응을 위해 노사 대표가 참석하는 '국내공장 대내외 리스크 대응 노사협의체'를 구성할 예정이다. 분기 1회 정례회의를 열어 미래 자동차 산업 트렌드, 생산·품질·안전 지표 등을 공유하고 대응 방안을 논의할 계획이다.노사는 이번 잠정합의안 마련 이전 전동화 확산 등 자동차 산업 환경에 대응하고, 국내공장의 미래 비전 및 직원 고용 안정 확보를 위해 국내 전기차 전용공장 신설과 기존 노후 생산라인을 단계적으로 재건축하는 방안을 골자로 하는 '국내공장 미래 투자 관련 특별 합의서'도 마련했다. 회사는 2025년 양산(2023년 착공)을 목표로 첫 번째 국내 전기차 전용공장을 신설하고, 신공장으로의 차종 이관과 국내공장 생산 물량 재편성을 통해 기존 노후 공장을 단계적으로 재건축하는 등 국내투자를 추진하기로 합의했다.이와 연계해 회사는 중장기 국내공장 개선 투자를 추진하며, 미래 제조 경쟁력 강화 및 작업성·환경 개선을 위한 최첨단 생산·품질 시스템 등도 도입하기로 했다. 노조는 대규모 국내공장 투자 추진과 연계해 ▶글로벌 수준의 생산효율 및 품질 확보 ▶공장 재편에 따른 차종 이관과 인력 전환 배치 ▶투입 비율 조정 및 시장 수요 연동 생산 등 제반 사항에 대한 협의에 적극 노력하기로 화답했다.현대차 관계자는 ""이번 합의로 1996년 아산공장 완공 이후 29년 만에 국내에 신공장을 건립하고, 기존 노후 생산라인도 단계적으로 재건축하는 등 최대 국내투자가 이뤄질 예정""이라며 ""지난 5월 미국 조지아주에 전기차 공장 건설 계획을 공개한 데 이어 국내에도 현대차 최초 전기차 전용공장을 신설하기로 해 글로벌 전기차 시장 성장에 선도적으로 대응할 수 있을 것""이라고 말했다.노사는 미래 산업 전환에 따른 인력 감소에 대비해 생산현장 기술직 신규 채용에도 합의했다. 2023년 상반기 내 전동화 및 제조기술 변화 등을 고려한 전문인력 중심 기술직 신규 채용을 실시할 예정이다. 채용 규모 및 방식은 향후 정년퇴직 발생에 따른 필요 인원과 중장기 자동차 산업 변화 감소 요인 등을 감안해 올해 11월 말까지 결정할 계획이다.현대차 관계자는 ""최근 반도체 수급 대란 장기화와 글로벌 경기 침체, 우크라이나 전쟁 등 대내외 리스크 속에서도 노사가 국내공장 미래 비전과 고용안정을 중심으로 속도감 있는 논의 끝에 '4년 연속 무분규 잠정합의'를 이끌어냈다""며 ""자동차 산업 전환기와 글로벌 경영환경의 불확실성 속에서도 국내 사업장이 글로벌 허브 역할과 위상을 더욱 공고히 해 미래 모빌리티 시대 '퍼스트 무버'로 도약할 수 있도록 역량을 모아 나가겠다""고 말했다.현대차는 정년 연장, 해고자 복직, 임금피크제 폐지 등 불합리한 요구에 대해 '수용 불가' 원칙을 이어갔다. 이번 잠정합의안 관련 조합원 찬반 투표는 오는 19일 진행된다.이지완 기자 anew@edaily.co.krⓒ이코노미스트(https://economist.co.kr) '내일을 위한 경제뉴스 이코노미스트' 무단 전재 및 재배포 금지",https://economist.co.kr/2022/07/13/industry/normal/20220713083819883.html
"현대차 노사, '29년만에 공장 신설' 국내 투자계획 합의",newsis,2025.04.05 (토),"[울산=뉴시스]현대자동차 울산공장 제네시스 생산라인 전경. (사진=현대자동차 제공)[email protected]*재판매 및 DB 금지[울산=뉴시스] 안정섭 기자 = 현대자동차 노사가 29년 만에 국내공장 신설을 골자로 한 국내 투자계획에 합의했다.현대자동차는 지난 11일 열린 2022년 임금협상에서 노동조합과 함께 '국내공장 미래 투자 관련 특별 합의서'를 마련했다고 12일 밝혔다.노사는 글로벌 자동차산업 대전환기에 대응하기 위해 국내공장 미래 비전과 고용 안정 확보를 목표로 전날 밤 늦게까지 논의한 끝에 합의서를 만드는데 성공했다.노사는 이번 합의를 통해 글로벌 전기차 시장 수요 급증에 대응하기 위해 현대차 최초로 전기차 전용공장을 신설하기로 했다.지난 1996년 아산공장 완공 이후 29년 만에 국내에 현대차 신공장이 건립되는 것이다.내년 중 착공해 오는 2025년 차량 양산을 목표로 새 공장 건립이 추진된다.신공장 차종 이관 등 국내공장 생산물량 재편성과 연계해 기존의 노후된 생산라인도 단계적으로 재건축하기로 뜻을 모았다.노사는 신공장 건설과 연계한 기존 생산라인 단계적 재건축을 통해 글로벌 수준의 미래형 자동차 양산공장으로 거듭난다는 계획이다.회사는 성공적인 국내투자를 위해 미래 제조 경쟁력 강화와 작업성·환경 개선을 위해 최첨단 생산·품질 시스템 도입 등을 적극 추진하는 한편 파워트레인 부문 고용보장 방안, 산업 전환과 연계한 다양한 직무 전환 교육 등을 마련하기로 했다.노조도 대규모 국내공장 재편 계획과 연계해 글로벌 수준의 생산 효율 향상과 품질 확보, 인력 전환 배치, 수요 대응을 위한 인력 투입비율 조정 등에 적극 협력하기로 약속했다.[울산=뉴시스] 배병수 기자 = 현대자동차 노사가 지난 5월 10일 울산공장 본관 동행룸에서 2022년도 임금협상 상견례를 진행하고 있다. 2022.05.10.[email protected]*재판매 및 DB 금지현대차 노사는 미래산업 변화에 대응하기 위한 인적자원 개발 방안도 마련했다.노사는 생산현장 인력의 미래산업 관련 비전 제시 등을 위해 직무 전환 교육을 포함한 다양한 교육 프로그램을 개발해 운영하기로 했다.제조솔루션·품질·연구개발 부문의 경우 미래산업 관련 능력 개발을 위한 성장 교육을 시행하고 자격요건과 직무 경험 등을 감안해 순차적으로 직무 전환 기회를 부여하기로 합의했다.또 노사는 국내공장과 연구소가 미래 신사업 성공의 선도기지로 거듭날 수 있도록 지속적으로 함께 노력하고 미래 신사업 관련 설명회를 매년 개최하기로 했다.이와 함께 글로벌 자동차 산업 환경 변화와 리스크 요인에 선제적으로 대응하기 위해 노사 대표가 참석하는 '국내공장 대내외 리스크 대응 노사협의체'를 구성, 분기마다 정례회의를 열고 미래차 산업 트렌드, 안전·생산·품질 지표 등을 공유하고 대응방안을 집중 논의하기로 했다.현대차 관계자는 ""미래 산업 전환기와 글로벌 경기 침체라는 대내외 리스크 속에서 국내공장 미래 비전과 고용 안정을 중심으로 노사가 상생할 수 있는 방안을 찾았다""고 밝혔다.이어 ""경영환경 불확실성 속에서도 국내 사업장이 글로벌 허브와 미래산업 선도기지 역할을 수행할 수 있도록 노사가 함께 힘을 모아 나갈 것""이라고 강조했다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20220712_0001939223&cID=10814&pID=10800
