제목,언론사,날짜,본문,링크,감성점수
"LG생명과학, R&D투자 3년 새 두 배↑…‘연매출 29兆’ LG화학 합병효과",이데일리,2020.03.17.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=04129526625704304,5
"LG화학 “편광판 사업부 경영권 매각설, 구체적으로 결정된 바 없다”",이데일리,2020.03.17.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=03726086625704304,1
"“LG화학, 코로나19로 실적 전망치 조정 불가피…목표가↓”",아시아투데이,2020.03.23.,"현대차증권은 23일 LG화학에 대해 코로나19 영향으로 배터리 부문 실적 전망치 하향 조정이 불가피하다고 밝혔다. 투자의견 매수를 유지했으나 목표주가는 38만원으로 내려잡았다.강동진 현대차증권 연구원은 “코로나19 영향 배터리 사업 매출 및 실적 전망치 하향 조정이 불가피하다”며 “화학 부문은 부진한 수요에도 낮은 유가로 실적 전망치를 유지한다”고 밝혔다.강 연구원은 “화학 고부가합성수지(ABS), 폴리염화비닐(PVC)의 견조한 수익성 및 일부 크래커 사고 여파로 높은 가동률 유지가 가능할 것”이라며 “2분기에는 저가로 급락한 납사(Naptha) 투입으로 실적이 추가적으로 개선될 것”이라고 설명했다.이어 “배터리 부문은 최근 유럽 전방 수요 위축 우려는 있으나 당초 배터리 수급이 타이트했기 때문에 가동률 부담이 크지는 않을 것”이라며 “다만 유럽 내 코로나19 지속기간에 대한 불확실성이 있다”고 풀이했다.그러면서 “LG화학의 배터리 사업 펀더멘털은 지속적으로 개선되고 있다”며 “중국업체들과의 경쟁력 격차가 여전히 크고, 팩 기술도 개선된 것으로 보인다”고 덧붙였다.장수영 기자swimming@asiatoday.co.kr좋아요좋아요0슬퍼요슬퍼요0화나요화나요0후속기사 원해요후속기사 원해요0ⓒ 아시아투데이, 무단전재 및 재배포 금지기사제보후원하기",http://www.asiatoday.co.kr/view.php?key=20200323010013769,1
"LG화학, 전기車 배터리 분사 잠정 보류",newsis,2025.04.08 (화),"ESS 충당금, 코로나19 사태 등 악재에 무기한 연기한 듯""다양한 방안 검토 중이나 확정된 바 없어…공시 통해 알릴 것""[서울=뉴시스] 김지은 기자 = LG화학이 전기차 배터리를 담당하는 전지사업본부를 분사해 독립법인으로 만들려던 계획을 잠정적으로 보류한 것으로 알려졌다.9일 업계에 따르면 LG화학은 최근 전지 사업 분할 관련 검토를 무기한 연기하기로 한 것으로 전해졌다.업계 일각에서는 LG화학이 이르면 올 7월 전지사업본부를 떼어내 LG화학 자회사로 둘 것으로 전망했지만, 에너지저장장치(ESS) 화재에 따른 대규모 충당금 발생과 코로나19 사태 확산 등 악재가 이어지면서 장점 보류 결정을 내린 것으로 분석된다.LG화학의 전지사업본부 분사 가능성은 꾸준히 제기됐다. 양대 사업인 석유화학 부문과 전지사업 부문의 업종 성격이 달라 독립경영을 통해 사업가치를 높일 것이란 예상에서다.시장에서는 성장성이 큰 배터리 사업이 분리되면 자금을 유치하거나 글로벌 기업들과 협업 측면에서 긍정적일 것이라는 분석이 나왔다.앞서 차동석 LG화학 최고재무책임자(CFO)도 지난 2월 실적 발표 콘퍼런스콜에서 전지사업부 분사 계획에 대해 ""여러 가지 방안(옵션)들에 대해서 검토 중에 있다""면서도 ""사업 방식이 다른 석유화학 부문과 전지사업 부문이 한 회사에 같이 있음으로 인한 장점도 많지만 투자의 우선순위 등 여러 면에서 각 부문의 경쟁력을 강화할 방법은 없는지 고민하고 있다""고 했다.계획을 철회한 것은 아니지만 악재가 이어지자 사업 재편을 위한 실무절차를 서두르지 않는 분위기다.이에 대해 LG화학 관계자는 ""전지사업부 분사설과 관련해 다양한 방안을 검토 중이나 확정된 바 없다고 미확정 공시를 한 상태""라며 ""전지사업의 경쟁력 강화와 사업 가치 제고를 위해 다양한 전략적 방안을 검토 중으로 변동 사항이 생기면 공시를 통해서 알릴 것""이라고 덧붙였다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20200309_0000947560&cID=13001&pID=13000,4
"LG화학, (주)LG 최고운영책임자(COO) 권영수 부회장 등기이사 선임 < 산업 < 기사본문 - 이코노뉴스",이코노뉴스,2020.03.21.,기자명이성주 기자입력 2020.03.21 21:18수정 2022.04.12 08:08댓글 0,http://www.econonews.co.kr/news/articleView.html?idxno=113242,5
"LG화학 LG헬로비전 주가 16%대 하락, LG그룹주 모두 떨어져",비즈니스포스트,2020.03.19.,본문 추출 실패,http://www.businesspost.co.kr/BP?command=article_view&num=169327,1
"LG화학, 유럽 ‘셧다운’ 공포에 52주 신저가",서울경제TV,2020.03.19.,본문 추출 실패: 'NoneType' object has no attribute 'strip',http://www.sentv.co.kr/news/view/570114,5
3년새 차입금 두배 급증한 LG화학-SK이노…'전전긍긍'하는 사연은? < 이슈 < 산업 < 기사본문 - 이코노믹리뷰,이코노믹리뷰,2020.03.19.,기자명강민성 기자입력 2020.03.19 20:05,http://www.econovill.com/news/articleView.html?idxno=389940,1
"[리포트 브리핑]LG화학, '2020년 1분기 배터리 성장률 30% 내외...
' 목표가 540,000원 - 유안타증권",뉴스핌,2025-04-05 07:00,"마벨, 인피니온에 자동차 네트워킹 사업부 25억달러에 매각",http://www.newspim.com/news/view/20200326000296,1
"'LG화학' 5% 이상 상승, 바이러스 영향과 전기차 배터리  - 미래에셋대우, BUY",한국경제,2020.03.20.,"입력2020.03.20 09:04수정2020.03.20 09:04글자크기 조절기사 스크랩기사 스크랩공유공유댓글0댓글클린뷰클린뷰프린트프린트◆ 최근 애널리스트 분석의견- 바이러스 영향과 전기차 배터리  - 미래에셋대우, BUY03월 17일 미래에셋대우의 박연주, 이종수 애널리스트는LG화학에 대해 ""유럽에서는 환경규제에 대응하기 위해 일정 이상의 전기차 판매가 불가피. 바이러스 영향으로 단기적으로 생산 차질은 있을 수 있으나 이 경우 하반기 회복 속도는 더 빠를 전망. 큰 그림에서 내연기관 시장의 축소, 테슬라의시장 지배력 확대를 감안할 때 자동차 업체들의 전기차 전략이 바뀌기는 어렵다. 바이러스 영향 확인 필요하나 저유가 및 스팟 스프레드 회복에도 주목.   LG화학을 업종 Top Pick으로 유지.""이라고 분석하며, 투자의견 'BUY', 목표주가 '500,000원'을 제시했다.한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.좋아요싫어요후속기사 원해요ⓒ 한경닷컴, 무단전재 및 재배포 금지한국경제 구독신청모바일한경 보기ADVERTISEMENT관련 뉴스1[마켓PRO] 알고리즘 종목 Pick : ""버크셔, M7보다 높은 수익률""※알고리즘 종목 Pick은 퀀트 알고리즘 분석 전문업체 코어16이 기업 실적, 거래량, 이동평균선 등 다양한 데이터를 기반으로 선정한 국내외 유망 투자 종목을 한국경제신문 기자들이 간추려 소개하는 코너입니다. 월요일...2대신증권, '중개형 ISA 3종 혜택 이벤트' 나서대신증권은 중개형ISA 보유 고객을 대상으로 특판RP 판매, 거래수수료 우대, 스타벅스 기프티콘 증정 등 세 가지 혜택을 제공하는 ‘중개형 ISA 3종 혜택 이벤트’를 진행한다고 8일 밝혔다.우...3간밤 美증시 진정에 코스피도 장중 반등세코스피지수가 1%대 반등세다. 간밤 미국 증시가 롤러코스터 장세를 펼치다가 끝내 상승 마감한 가운데, 국내 증시도 변동성 부담을 일부 덜어낸 것으로 풀이된다.8일 한국거래소에 따르면 이날 오전 11시16분 기준 코스...ADVERTISEMENT",https://www.hankyung.com/finance/article/202003206218L,5
"코스피, 개인·기관 사자에 상승…삼성바이오로직스 하락 vs 삼성전자, SK하이닉스, 네이버, 셀트리온, LG화학, 현대차, LG생활건강 상승 vs 삼성SDI 보합 < 경제 < 기사본문 - 이코노뉴스",이코노뉴스,2020.03.28.,기자명이정원 기자입력 2020.03.28 14:30댓글 0,http://www.econonews.co.kr/news/articleView.html?idxno=114159,5
LG화학 유럽서 '우수 가정용 ESS 설치업체' 9곳 시상,에너지경제,2020.03.18.,29억 체납에 795억 주식 압류된 류광지 금양 회장,http://www.ekn.kr/news/article.html?no=488431,5
"LG화학, 상승흐름 전일대비 +6.74%... 최근 단기 조정 후 반등",한국경제TV,2020-03-20 10:01,본문 추출 실패,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202003200132&t=NN,4
LG화학 1분기 깜짝 실적,조선일보,2020.04.28.,본문 추출 실패,https://news.chosun.com/site/data/html_dir/2020/04/28/2020042801726.html?utm_source=naver&utm_medium=original&utm_campaign=news,4
"[TF매매동향] 외인, LG화학 사고 삼성생명 팔았다 - 경제 | 기사 - 더팩트",더팩트언론사 선정,2020.04.29.,본문 추출 실패,http://news.tf.co.kr/read/economy/1791894.htm,1
"LG화학, 1분기 영업익 16% 감소한 2천365억원…""기대 웃돈 실적""(종합2보)",연합뉴스,2020/04/28 11:32 송고2020년04월28일 11시32분 송고,"김준억기자구독구독중이전다음코로나로 매출 감소·원료 가격도 하락…""2분기 코로나 악영향 확대""""배터리 매출, 연간 계획보다 10∼15% 감소 불가피…수익성도 하락""""현금흐름 관리 중점…올해 투자규모 '6조원→ 5조원대 초중반' 감축""(서울=연합뉴스) 김준억 기자 = LG화학이 신종 코로나바이러스 감염증(코로나19) 사태로 매출은 부진했지만, 원재료 가격 하락 등에 따라 예상보다 수익성은 양호한 1분기 실적을 거뒀다.다만, 2분기에는 수요 감소 등 코로나19 영향 확대가 불가피한 상황으로 현금흐름 관리에 중점을 두면서 올해 투자계획도 감축하기로 했다.LG화학은 연결 기준 1분기 실적을 잠정 집계한 결과 영업이익은 2천365억원으로 지난해 동기보다 15.9% 감소했지만, 전 분기(132억원 영업손실) 대비로는 흑자전환했다고 28일 공시했다.이번 영업이익은 연합인포맥스가 집계한 시장 전망치(1천404억원)보다 68.5% 높아 '깜짝 실적'으로 평가된다.매출은 7조1천157억원으로 작년 동기 대비 7.5% 증가했지만, 전 분기 대비로는 4.5% 줄었다.이미지 확대LG화학 배터리[LG화학 제공. 재판매 및 DB 금지]LG화학 최고재무책임자(CFO) 차동석 부사장은 컨퍼런스콜에서 ""석유화학 주요 제품의 스프레드(원료와 최종제품의 가격 차이) 개선, 전지사업 비용 절감을 통한 적자 폭 축소, 첨단소재 사업구조 및 비용 효율화 등을 통해 시장 기대치를 상회하는 실적을 달성했다""고 말했다.차 부사장은 ""2분기에는 코로나19와 유가 폭락 등의 불확실성이 예상되지만, 효율성 향상 등 할 수 있는 일에 대한 철저한 집중과 안정적인 현금 흐름 관리, 미래를 위한 핵심 투자 지속 등을 통해 위기관리와 동시에 성장에 대한 기반도 확대해 나갈 것""이라고 강조했다.그는 올해 투자 규모를 연초에 6조원으로 계획했지만, 신중한 검토를 거쳐 5조원대 초중반 수준으로 감축한다고 설명했다.사업 부문별로 보면 석유화학 부문은 1분기에 매출 3조6천959억원, 영업이익 2천426억원을 기록했다.유가 하락과 코로나19 영향으로 전 분기 대비 매출은 5.2% 줄었고, 영업이익도 23.2% 감소했다. 다만, ABS와 PVC 등 주요 제품의 스프레드 개선으로 예상보다 양호한 실적을 거뒀다.2분기에는 코로나19 확산에 따른 수요 불확실성이 있지만, 저유가 기조가 이어지면서 주요 원료의 수익성 회복과 스프레드 개선 등이 전망된다고 LG화학은 밝혔다.다만, 2분기에는 주요 PVC 수출 시장인 인도의 '록다운' 등 코로나19 영향이 확대됨에 따라 국내 PVC 공장의 정기 보수를 계획보다 앞당기는 등 공급량을 조절하겠다고 밝혔다.이미지 확대LG화학 여수공장[연합뉴스 자료사진]전지 부문은 1분기에 매출 2조2천609억원, 영업손실 518억원을 기록했다.전기차 배터리 부문의 신규 투자와 정보기술(IT) 소형전지의 비수기 진입, 코로나19 확산에 따른 가동 중지 등의 영향 있었지만, 비용 절감과 수율 개선을 통해 적자 폭은 줄었다.전지 부문도 2분기는 코로나19 영향이 불가피하지만, 자동차용과 원통형 전지의 출하 확대, 폴란드 공장 수율 개선 등에 따른 매출 증가, 수익성 개선이 전망된다고 LG화학은 설명했다.그러나 코로나19로 자사의 중국과 미국 공장 미가동, 고객사인 글로벌 완성차 업체들의 셧다운 등에 따라 올해 전지 부문 매출 전망치는 애초 15조원에서 10∼15% 하락이 불가피하다고 밝혔다.전지 경영전략총괄 장승세 전무는 ""매출 감소에 따라 수익성도 낮아져 연간 영업이익률 전망치는 애초 한 자릿수 중반에서 초반 정도가 될 것""이라고 말했다.장 전무는 중국의 전기차 보조금 2년 연장과 관련 ""당사의 배터리 탑재 차량이 보조금 리스트에 선정되는 등 해외 업체 차별이 완화되는 추세여서 올해 기회가 커진다고 보고 있다""며 ""현재 보조금 대상인 차량 이외에 중장기적으로 중국 내 사업 기회 확대를 모색할 것""이라고 말했다.첨단소재 부문은 사업 구조조정에 따라 1분기 매출 1조1천74억원, 영업이익 621억원으로 전 분기 대비 매출 감소에도 수익성은 개선됐다. 생명과학 부문은 매출 1천593억원, 영업이익 235억원을 기록했다.[표] LG화학 1분기 실적(단위 : 억원)2020년1분기2019년1분기작년동기 대비 증감률2019년4분기전분기 대비 증감률매출액71,15766,2177.5%74,510-4.5%영업이익2,3652,810-15.8%-132흑자전환justdust@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/04/28 11:32 송고2020년04월28일 11시32분 송고",http://yna.kr/AKR20200428034452527?did=1195m,1
코로나에도...LG화학·LG이노텍 깜짝실적 | 서울경제,서울경제언론사 선정,입력,본문 추출 실패,https://www.sedaily.com/NewsView/1Z1NGAG481,1
"[강세 토픽] 2차전지 - 배터리 생산 테마, SK이노베이션 +2.80%, LG화학 +2...",조선비즈,2020.04.29.,본문 추출 실패: 'NoneType' object has no attribute 'strip',https://biz.chosun.com/site/data/html_dir/2020/04/29/2020042901009.html?utm_source=naver&utm_medium=original&utm_campaign=biz,4
"[빅데이터MSI]시장심리 톱5, LG화학·GS리테일·녹십자·효성·SK",newsis,2025.04.08 (화),"시장심리 워스트5, S-Oil·아모레퍼시픽·삼성중공업·LS·대한유화[서울=뉴시스]신항섭 기자 = 29일 빅데이터 시장심리지수(MSI)가 가장 높은 톱5에 LG화학·GS리테일·녹십자·효성·SK가 선정됐다.이는 뉴시스와 코스콤이 주요 상장기업 250곳에 대해 공동 분석해 산출해 낸 빅데이터 MSI(http://m.newsis.com/stock.html, 모바일 전용)로 전 거래일 오후 4시부터 이날 오전 8시까지 데이터를 취합한 결과다.LG화학의 시장심리지수는 전 거래일과 같은 7단계 '매우 좋음'을 나타냈다. 관련 키워드로는 배터리, 비용, 전지, 스프레드, 코로나, 부문, 전기차, 수익성 등이 뽑혔다.GS리테일의 시장심리지수도 전 거래일과 동일한 7단계로 집계됐다. 연관 키워드로는 편의점, 아카이브코퍼레이션, 부문, 개발, 코로나, 부동산, 슈퍼마켓, 운영 등이 꼽혔다.녹십자의 시장심리지수는 7단계 '매우 좋음'으로 전 거래일과 같았다. 온라인에서는 진단키트, 개발, 성공, 동기, 치료제, 진단기기, 전반적, 수출, 호조 등이 주로 검색됐다.효성의 MSI지수는 7단계 '매우 좋음'으로 전 거래일과 같았다. 주요 키워드로는 액화수소, 공장, 생산, 구축, 탄소섬유, 린데코리아, 활성화, 운송, 수소충전소 등이 꼽혔다.SK의 MSI지수는 전 거래일과 같은 7단계를 나타냈다. 핵심 키워드로는 백신, 개발, 구성원, SK바이오사이언스, SK이노베이션, SK브로드밴드, 배터리, 금지, 공장, 고객 등이 선정됐다.시장심리가 낮은 '워스트5'에는 S-Oil·아모레퍼시픽·삼성중공업·LS·대한유화가 꼽혔다.S-Oil의 시장심리지수는 전 거래일과 동일한 1단계 '매우 나쁨'을 기록했다. 관련 키워드로는 원유, 유가, 적자, 손실, 영업손실, 발행, 회사채, 추정치 등이 꼽혔다.아모레퍼시픽의 시장심리지수는 1단계로 전 거래일보다 두 단계 내렸다. 연관 키워드로는 채널, 화장품, 해외, 온라인, 디지털, 이니스프리, 뷰티, 면세점, 경쟁력 등이 뽑혔다.삼성중공업의 시장심리지수는 전 거래일과 같은 1단계를 나타냈다. 온라인에서는 등락률, 수주, 수량, 적자, 추가, 자료, 영업손실, 연관, 거제 등이 주로 검색됐다.LS의 MSI지수는 1단계로 전 거래일 대비 4단계 하락했다. 핵심 키워드로는 LS전선, 지원, 세종전선, 극복, 지역, 코로나, 푸드팩, 먹거리, 활동 등이 선정됐다.대한유화의 MSI지수는 전 거래일과 같은 수준인 1단계 '매우 나쁨'을 기록했다. 키워드로 추정치, 이익, 유가, 화학, 급락, 적자, 코로나, 하향, 손실 등이 뽑혔다.MSI는 총 7단계로 나뉜다. 1단계 '매우 나쁨', 2단계 '나쁨', 3단계 '약간 나쁨', 4단계 '보통', 5단계 '약간 좋음', 6단계 '좋음', 7단계 '매우 좋음' 등으로 분류된다.MSI 레벨이 가장 낮은 수준인 1단계에서 가장 높은 수준인 7단계 쪽으로 바뀌면 해당 종목에 대해 온라인상에서의 반응이 부정에서 긍정으로 바뀌고 있다는 뜻으로 풀이할 수 있다.한편 2017년 8월1일부터 선보인 빅데이터 MSI 모바일 전용 버전은 구글플레이 또는 애플 앱스토어에서 '뉴시스' 앱을 내려받거나 뉴시스 모바일 홈페이지(m.newsis.com)에 접속한 뒤 메인화면의 '빅데이터 MSI'를 클릭해 이용하면 된다.※ 빅데이터MSI는 투자 참고용이며, 투자 결과에 책임을 지지 않습니다. 주식시장에서는 다양한 국내외 변수가 존재하기 때문에 한 지표로만 판단하면 뜻하지 않은 결과를 초래할 수 있습니다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20200429_0001009574&cID=10401&pID=10400,5
"[단독]LG화학-GM, 美 배터리 합작사명 '얼티엄 셀즈'로 확정",아시아경제,2020.04.29.,"단독[아시아경제 박소연 기자] LG화학이 미국 자동차회사 제너럴모터스(GM)와 배터리셀 합작법인의 법인명을 '얼티엄 셀즈(Ultium Cells)' 유한책임회사(LLC)로 확정했다고 29일 밝혔다. 얼티엄 셀즈는 이르면 올해 중순 배터리셀 공장 착공식을 할 예정이다.앞서 LG화학은 지난해말 미국 미시간 주 GM글로벌테크센터에서 메리 바라 GM 회장과 신학철 LG화학 부회장 등이 참석한 가운데 합작법인 계약을 체결했다.합작법인은 50대 50 지분으로 양사가 각각 1조원을 출자하며, 단계적으로 총 2조7000억원을 투자해 30GWh 이상의 생산 능력을 확보할 계획이다. 공장 부지는 오하이오주 로즈타운 지역으로 올 중순에 착공하며 양산된 배터리셀은 GM의 차세대 전기차에 공급된다.이번 합작법인 설립은 전기차 업체로의 전환을 선언한 GM과 배터리 분야에서 대규모 투자에 따른 위험부담을 최소화하면서 급성장하는 미국 시장에 대응이 필요한 LG화학의 이해관계가 맞아 성사됐다.아울러 LG화학이 GM의 합작법인 파트너로 선정된 것은 지난 10년간 양사가 협력관계를 이어오면서 전기차 배터리의 품질과 양산 능력을 인정받았기 때문이라고 회사는 설명했다.LG화학은 GM이 2009년 출시한 세계 첫 양산형 전기차인 쉐보레 볼트(Volt)의 배터리 단독 공급업체로 선정된 이후 쉐보레 볼트(Bolt) 등에 배터리를 공급하고 있다.박소연 기자 muse@asiae.co.krAD꼭 봐야할 주요뉴스6·3 '장미대선' 확정…韓대행, 마은혁 헌법재판관...마스크영역이재명 ""韓, '재판관 지명' 권한 없는데 오버…대통령 된 걸로 착각""안철수, 네 번째 대선 출마…""이재명에 승리할 수 있는 후보""(종합)""남자친구 있으면 안 되는데""…백종원 더본, 女지원자 '술자리 면접' 논란故장제원 아들 노엘 ""두렵고 막막하고 우울한 시간…더 치열하게 살아가겠다""<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2020042915282317799,3
"삼성증권 ""LG화학 1분기 기초소재 호실적…목표가↑""",연합뉴스,2020/04/29 08:27 송고2020년04월29일 08시27분 송고,"박상돈기자구독구독중이전다음(서울=연합뉴스) 박상돈 기자 = 삼성증권[016360]은 29일 LG화학[051910]이 1분기 기초소재 부문 등에서 예상보다 좋은 실적을 냈다며 목표주가를 33만원에서 41만원으로 올렸다.조현렬 연구원은 ""LG화학의 1분기 영업이익은 2천365억원으로 시장 전망치(1천590억원)와 당사 추정치(1천536억원)를 모두 상회했다""고 진단했다.조 연구원은 ""이는 기초소재 부문에서 예상보다 컸던 원가 하락 효과로 호실적을 기록했고 배터리 부문도 당사 추정치를 소폭 상회했다""고 분석했다.그는 ""최근 글로벌 배터리업체 주가 상승을 반영해 기업가치 대비 세전 영업이익(EV/EBITDA) 배수 및 목표주가를 상향 조정했다""며 ""코로나19에 따른 영향이 배터리 부문에서는 2분기부터 본격 반영될 것으로 예상되나 전기차(EV)용 원통형 배터리 출하 증가세 지속은 긍정적""이라고 평가했다.그는 ""2분기 유럽 EV 판매 실적이 단기 투자심리에 변수로 작용할 것으로 예상되며 해당 부분 확인 후 중장기 성장성에 대한 기대감은 다시 고조될 것""이라고 덧붙였다.kaka@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/04/29 08:27 송고2020년04월29일 08시27분 송고",http://yna.kr/AKR20200429030000008?did=1195m,1
"LG화학, 탄소나노튜브 1200t 증설…""배터리 경쟁력 강화""(종합)",newsis,2025.04.08 (화),"내년 1분기까지 여수공장에 약 650억원 투자기존 500톤 포함, 총 1,700톤 생산체제 구축전기차 배터리 소재용 중심 연평균 30% 이상 성장[서울=뉴시스] LG화학 여수 탄소나노튜브(CNT) 공장 전경. (사진=회사 제공)[서울=뉴시스] 김지은 기자 = LG화학이 차세대 신소재인 탄소나노튜브(Carbon Nanotube) 시장 공략을 본격화한다. 배터리 셀과 모듈뿐 아니라 관련 부품·소재 개발에도 공을 들이는 모습이다.LG화학은 내년 1분기까지 약 650억원을 투자해 여수공장에 탄소나노튜브(CNT) 1200t을 증설한다고 27일 밝혔다.증설이 완료되면 LG화학은 기존 500t과 합쳐 총 1700t의 생산능력을 확보하게 된다.탄소나노튜브는 전기·열 전도율이 구리·다이아몬드와 동일하고 강도는 철강의 100배에 달해 '꿈의 신소재'로 불린다. 기존 소재 대비 우수한 특성 덕분에 배터리, 반도체, 자동차 부품, 항공기 동체 등에 폭넓게 쓰인다.최근 글로벌 전기차 시장 성장과 더불어 리튬이온전지의 양극 흐름을 돕는 도전재 용도로 수요가 급증하고 있다.양극 도전재는 소형·중대형 리튬이온배터리의 첨가제로 쓰인다. 특히 니켈, 코발트, 망간 등의 활물질로 구성된 양극재 내에서 리튬이온의 전도도를 높이는 역할을 한다.탄소나노튜브를 양극 도전재로 사용하면 기존의 카본블랙 대비 약 10% 이상 높은 전도도를 구현해 도전재 사용량을 약 30% 줄이고, 그 공간을 필요한 양극재로 더 채워 리튬이온배터리의 용량과 수명을 늘릴 수 있다고 LG화학 측은 설명했다.이런 이점 때문에 글로벌 전기차 시장을 중심으로 탄소나노튜브 수요는 지난해 3000톤 규모에서 2024년 13000톤 규모로 연평균 34%의 성장세를 기록할 것으로 업계는 보고 있다.LG화학은 탄소나노튜브를 리튬이온배터리에 적용해 제품 경쟁력을 더욱 강화한다는 방침이다.2000년대 초반 개발을 시작한 중국업체도 주로 배터리 용도로 탄소나노튜브를 활용하고 있는 것으로 알려졌다. 생산능력을 보면 지난해 기준 중국 C-Nano, SUSN 시노텍 등이 1000t으로 공동 1위에 오른 것으로 추정된다. LG화학은 현재 6위권이지만 내년 증설이 완료되면 선두권을 놓고 경쟁할 것으로 예상된다.회사 관계자는 ""북미, 유럽, 중국 등 글로벌 IT소재 업체 및 완성차 업체를 대상으로 판매 규모를 점차 늘려 나갈 계획""이라며 ""2022년에는 추가적인 증설도 검토할 예정이다""고 말했다.이번 투자는 석유화학 분야의 제품구조 고도화 전략과도 맞닿아 있다.LG화학은 2011년 탄소나노튜브 독자기술 개발을 위한 연구개발(R&D)에 본격 착수해 2013년 20톤 규모의 파일럿 양산 라인을 구축했다. 2014년에 전지용 소재·전도성 컴파운드 제품을 개발했고, 현재 탄소나노튜브 관련 분야에서만 약 250여건 이상의 특허를 보유하고 있다.특히 자체 개발한 세계 최대 규모의 유동층 반응기를 통해 대량 생산체제를 구축해 기존의 분말형태에서 구매사가 사용하기 편한 압축형태까지 다양한 탄소나노튜브 제품을 통해 시장을 적극 공략 중이다.또 발열 갱폼(공사용 대형 거푸집), 고압 케이블 피복 내부의 반도전층, 건축용 고강도 콘크리트 등 탄소나노튜브를 적용할 수 있는 다양한 신(新)용도를 개발해 시장에 상용화시킬 계획이다.노국래 석유화학사업본부장은 ""글로벌 소재 경쟁에서 살아남기 위해서는 차별화된 기술력과 제품으로 시장을 선도해야 된다""며 ""향후 탄소나노튜브를 비롯해 차세대 고부가 소재 분야에서도 독자기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것이다""고 덧붙였다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20200427_0001006870&cID=13001&pID=13000,4
